FILENAME,0dB,-5dB,DeepFilterNet
1_181_plus_2-160888-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5127
1_222_plus_4-161099-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4731
1_24_plus_3-128512-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.6148
1_265_plus_4-251959-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2074
1_27_plus_5-251957-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5573
1_317_plus_4-161105-B-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3060
1_38_plus_2-78781-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3356
1_490_plus_4-255371-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2881
1_64_plus_5-251963-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3163
1_6_plus_1-36929-A-47_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3964
