filename,category,snr_level,method,processing_time_ms
1_119_plus_2-98392-A-23_-5dB.wav,breathing,-5dB,DeepFilterNet,5910.02
1_190_plus_1-30709-B-23_-5dB.wav,breathing,-5dB,DeepFilterNet,5921.46
1_231_plus_5-213293-A-23_-5dB.wav,breathing,-5dB,DeepFilterNet,6191.62
1_235_plus_1-30709-C-23_-5dB.wav,breathing,-5dB,DeepFilterNet,5941.91
1_345_plus_5-261464-A-23_-5dB.wav,breathing,-5dB,DeepFilterNet,5964.67
1_38_plus_5-260164-A-23_-5dB.wav,breathing,-5dB,DeepFilterNet,5930.3
1_395_plus_3-112557-B-23_-5dB.wav,breathing,-5dB,DeepFilterNet,6094.1
1_434_plus_3-144128-B-23_-5dB.wav,breathing,-5dB,DeepFilterNet,6034.04
1_455_plus_4-205526-A-23_-5dB.wav,breathing,-5dB,DeepFilterNet,5770.1
1_52_plus_4-205526-B-23_-5dB.wav,breathing,-5dB,DeepFilterNet,6020.07
