FILENAME,0dB,-5dB,DeepFilterNet
1_134_plus_3-243726-A-43_-5dB.wav,0.1182,0.1037,0.3052
1_134_plus_3-243726-A-43_-5dB_DeepFilterNet3.wav,0.1182,0.1037,0.2435
1_179_plus_4-191015-A-43_-5dB.wav,0.4969,0.3135,0.4167
1_179_plus_4-191015-A-43_-5dB_DeepFilterNet3.wav,0.4969,0.3135,0.6713
1_190_plus_4-178402-A-43_-5dB.wav,0.4879,0.4559,0.5325
1_190_plus_4-178402-A-43_-5dB_DeepFilterNet3.wav,0.4879,0.4559,0.5484
1_207_plus_4-175855-A-43_-5dB.wav,0.5004,0.3828,0.6056
1_207_plus_4-175855-A-43_-5dB_DeepFilterNet3.wav,0.5004,0.3828,0.5640
1_238_plus_1-26177-A-43_-5dB.wav,0.1955,0.1967,0.3470
1_238_plus_1-26177-A-43_-5dB_DeepFilterNet3.wav,0.1955,0.1967,0.3563
1_342_plus_3-155234-A-43_-5dB.wav,0.6363,0.5180,0.4272
1_342_plus_3-155234-A-43_-5dB_DeepFilterNet3.wav,0.6363,0.5180,0.4983
1_386_plus_1-24074-A-43_-5dB.wav,0.2045,0.1448,0.4639
1_386_plus_1-24074-A-43_-5dB_DeepFilterNet3.wav,0.2045,0.1448,0.3517
1_392_plus_3-146697-A-43_-5dB.wav,0.7819,0.6541,0.5609
1_392_plus_3-146697-A-43_-5dB_DeepFilterNet3.wav,0.7819,0.6541,0.5183
1_75_plus_1-24076-A-43_-5dB.wav,0.3429,0.2898,0.4104
1_75_plus_1-24076-A-43_-5dB_DeepFilterNet3.wav,0.3429,0.2898,0.4012
1_78_plus_5-179860-A-43_-5dB.wav,0.7635,0.6644,0.3850
1_78_plus_5-179860-A-43_-5dB_DeepFilterNet3.wav,0.7635,0.6644,0.3560
