FILENAME,0dB,-5dB,DeepFilterNet
1_101_plus_1-47250-B-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4426
1_202_plus_1-19898-C-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.6437
1_220_plus_4-149294-B-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3670
1_233_plus_5-216370-A-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3884
1_304_plus_3-118658-B-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5163
1_358_plus_4-169127-A-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4457
1_385_plus_3-118656-A-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.1866
1_494_plus_2-50668-B-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3901
1_56_plus_2-50667-A-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3972
1_78_plus_4-157611-A-41_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5791
