FILENAME,0dB,-5dB,DeepFilterNet
1_177_plus_3-138114-A-22_-5dB.wav,0.2589,0.2387,0.6716
1_177_plus_3-138114-A-22_-5dB_DeepFilterNet3.wav,0.2589,0.2387,0.6679
1_178_plus_4-189838-A-22_-5dB.wav,0.2299,0.2111,0.5911
1_178_plus_4-189838-A-22_-5dB_DeepFilterNet3.wav,0.2299,0.2111,0.5495
1_275_plus_5-262957-A-22_-5dB.wav,0.6298,0.4072,0.5144
1_275_plus_5-262957-A-22_-5dB_DeepFilterNet3.wav,0.6298,0.4072,0.5152
1_340_plus_1-115920-A-22_-5dB.wav,0.6013,0.3028,0.6928
1_340_plus_1-115920-A-22_-5dB_DeepFilterNet3.wav,0.6013,0.3028,0.7197
1_344_plus_1-94036-A-22_-5dB.wav,0.4431,0.3916,0.6814
1_344_plus_1-94036-A-22_-5dB_DeepFilterNet3.wav,0.4431,0.3916,0.5895
1_347_plus_5-249937-A-22_-5dB.wav,0.4050,0.3400,0.6120
1_347_plus_5-249937-A-22_-5dB_DeepFilterNet3.wav,0.4050,0.3400,0.5801
1_373_plus_2-76408-B-22_-5dB.wav,0.2322,0.2103,0.4920
1_373_plus_2-76408-B-22_-5dB_DeepFilterNet3.wav,0.2322,0.2103,0.5109
1_376_plus_1-115921-A-22_-5dB.wav,0.2255,0.1992,0.4091
1_376_plus_1-115921-A-22_-5dB_DeepFilterNet3.wav,0.2255,0.1992,0.6186
1_385_plus_4-189836-A-22_-5dB.wav,0.2758,0.2396,0.4838
1_385_plus_4-189836-A-22_-5dB_DeepFilterNet3.wav,0.2758,0.2396,0.4369
1_459_plus_1-110537-A-22_-5dB.wav,0.3025,0.2517,0.4242
1_459_plus_1-110537-A-22_-5dB_DeepFilterNet3.wav,0.3025,0.2517,0.4405
