filename,category,snr_level,method,processing_time_ms
1_177_plus_3-138114-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,39.58
1_178_plus_4-189838-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,30.87
1_275_plus_5-262957-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,31.33
1_340_plus_1-115920-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,31.04
1_344_plus_1-94036-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,34.05
1_347_plus_5-249937-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,37.55
1_373_plus_2-76408-B-22_-5dB.wav,clapping,-5dB,DeepFilterNet,37.55
1_376_plus_1-115921-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,39.77
1_385_plus_4-189836-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,40.56
1_459_plus_1-110537-A-22_-5dB.wav,clapping,-5dB,DeepFilterNet,32.05
