filename,category,snr_level,method,processing_time_ms
1_125_plus_5-213836-B-9_-5dB.wav,crow,-5dB,DeepFilterNet,36.04
1_150_plus_4-173865-B-9_-5dB.wav,crow,-5dB,DeepFilterNet,32.57
1_172_plus_1-75162-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,35.07
1_306_plus_4-173865-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,37.58
1_310_plus_3-124925-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,38.55
1_325_plus_2-109231-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,33.02
1_340_plus_3-127890-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,35.1
1_433_plus_4-156227-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,45.08
1_43_plus_2-108767-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,41.58
1_449_plus_3-112397-A-9_-5dB.wav,crow,-5dB,DeepFilterNet,36.32
