FILENAME,0dB,-5dB,DeepFilterNet
1_145_plus_2-66637-A-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.7072
1_254_plus_4-167077-B-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5945
1_257_plus_4-185575-A-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.1994
1_341_plus_1-211527-C-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5194
1_433_plus_1-22694-B-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2190
1_458_plus_3-152007-A-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3575
1_475_plus_1-22694-A-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2583
1_484_plus_5-198411-G-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4928
1_498_plus_4-59579-A-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4595
1_89_plus_3-152007-D-20_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4794
