FILENAME,0dB,-5dB,DeepFilterNet
1_118_plus_2-118624-A-30_-5dB.wav,0.8837,0.7648,0.6736
1_118_plus_2-118624-A-30_-5dB_DeepFilterNet3.wav,0.8837,0.7648,0.6041
1_127_plus_2-133889-A-30_-5dB.wav,0.8701,0.7653,0.5401
1_127_plus_2-133889-A-30_-5dB_DeepFilterNet3.wav,0.8701,0.7653,0.5196
1_151_plus_3-182023-A-30_-5dB.wav,0.9190,0.7837,0.5722
1_151_plus_3-182023-A-30_-5dB_DeepFilterNet3.wav,0.9190,0.7837,0.5445
1_254_plus_3-151089-A-30_-5dB.wav,0.5833,0.3604,0.4293
1_254_plus_3-151089-A-30_-5dB_DeepFilterNet3.wav,0.5833,0.3604,0.4747
1_305_plus_2-118625-A-30_-5dB.wav,0.6308,0.6218,0.5295
1_305_plus_2-118625-A-30_-5dB_DeepFilterNet3.wav,0.6308,0.6218,0.5244
1_315_plus_5-250026-B-30_-5dB.wav,0.6610,0.6920,0.8185
1_315_plus_5-250026-B-30_-5dB_DeepFilterNet3.wav,0.6610,0.6920,0.8321
1_425_plus_4-182041-A-30_-5dB.wav,0.7560,0.5639,0.5507
1_425_plus_4-182041-A-30_-5dB_DeepFilterNet3.wav,0.7560,0.5639,0.3191
1_437_plus_2-120218-A-30_-5dB.wav,0.7298,0.6723,0.4794
1_437_plus_2-120218-A-30_-5dB_DeepFilterNet3.wav,0.7298,0.6723,0.4531
1_484_plus_4-187284-A-30_-5dB.wav,0.6244,0.6421,0.3291
1_484_plus_4-187284-A-30_-5dB_DeepFilterNet3.wav,0.6244,0.6421,0.2756
1_62_plus_3-154378-A-30_-5dB.wav,0.5328,0.4850,0.3121
1_62_plus_3-154378-A-30_-5dB_DeepFilterNet3.wav,0.5328,0.4850,0.3278
