filename,category,snr_level,method,processing_time_ms
1_118_plus_2-118624-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,36.55
1_127_plus_2-133889-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,30.57
1_151_plus_3-182023-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,39.56
1_254_plus_3-151089-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,28.03
1_305_plus_2-118625-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,28.36
1_315_plus_5-250026-B-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,34.45
1_425_plus_4-182041-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,30.63
1_437_plus_2-120218-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,34.25
1_484_plus_4-187284-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,36.67
1_62_plus_3-154378-A-30_-5dB.wav,door_wood_knock,-5dB,DeepFilterNet,37.07
