filename,category,snr_level,method,processing_time_ms
1_180_plus_3-169907-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,32.56
1_184_plus_1-17295-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,31.55
1_216_plus_2-94807-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,32.05
1_245_plus_4-210593-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,28.57
1_278_plus_2-122763-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,39.19
1_302_plus_4-194808-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,35.07
1_322_plus_5-259640-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,42.41
1_413_plus_4-204202-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,40.44
1_42_plus_2-92978-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,35.92
1_79_plus_5-243036-A-29_-5dB.wav,drinking_sipping,-5dB,DeepFilterNet,41.65
