filename,category,snr_level,method,processing_time_ms
1_103_plus_4-218304-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,40.11
1_173_plus_2-209473-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,34.06
1_205_plus_3-249913-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,32.04
1_212_plus_5-51149-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,29.04
1_354_plus_1-223162-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,32.04
1_37_plus_3-103597-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,35.04
1_400_plus_4-198962-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,27.53
1_476_plus_4-198962-B-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,34.54
1_47_plus_5-234263-A-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,36.04
1_98_plus_1-155858-E-25_-5dB.wav,footsteps,-5dB,DeepFilterNet,33.03
