FILENAME,0dB,-5dB,DeepFilterNet
1_100_plus_4-102844-A-49_-5dB.wav,0.3974,0.2393,0.3795
1_100_plus_4-102844-A-49_-5dB_DeepFilterNet3.wav,0.3974,0.2393,0.2826
1_143_plus_2-60180-B-49_-5dB.wav,0.6656,0.5212,0.6932
1_143_plus_2-60180-B-49_-5dB_DeepFilterNet3.wav,0.6656,0.5212,0.5494
1_157_plus_1-7974-B-49_-5dB.wav,0.3374,0.2811,0.4538
1_157_plus_1-7974-B-49_-5dB_DeepFilterNet3.wav,0.3374,0.2811,0.4877
1_202_plus_5-253094-C-49_-5dB.wav,0.5975,0.3340,0.5797
1_202_plus_5-253094-C-49_-5dB_DeepFilterNet3.wav,0.5975,0.3340,0.5380
1_231_plus_1-9886-A-49_-5dB.wav,0.3479,0.3025,0.4081
1_231_plus_1-9886-A-49_-5dB_DeepFilterNet3.wav,0.3479,0.3025,0.2842
1_288_plus_3-96606-B-49_-5dB.wav,0.5657,0.4214,0.4248
1_288_plus_3-96606-B-49_-5dB_DeepFilterNet3.wav,0.5657,0.4214,0.3856
1_350_plus_4-102844-B-49_-5dB.wav,0.6238,0.5758,0.5157
1_350_plus_4-102844-B-49_-5dB_DeepFilterNet3.wav,0.6238,0.5758,0.3802
1_409_plus_1-7974-A-49_-5dB.wav,0.5656,0.4934,0.5032
1_409_plus_1-7974-A-49_-5dB_DeepFilterNet3.wav,0.5656,0.4934,0.4401
1_464_plus_3-102583-C-49_-5dB.wav,0.7325,0.6300,0.5513
1_464_plus_3-102583-C-49_-5dB_DeepFilterNet3.wav,0.7325,0.6300,0.5033
1_491_plus_2-84693-A-49_-5dB.wav,0.4514,0.4465,0.2716
1_491_plus_2-84693-A-49_-5dB_DeepFilterNet3.wav,0.4514,0.4465,0.4362
