FILENAME,0dB,-5dB,DeepFilterNet
1_12_plus_1-181071-B-40_-5dB.wav,0.2981,0.3207,0.4424
1_12_plus_1-181071-B-40_-5dB_DeepFilterNet3.wav,0.2981,0.3207,0.5374
1_168_plus_5-177957-C-40_-5dB.wav,0.7257,0.6350,0.4355
1_168_plus_5-177957-C-40_-5dB_DeepFilterNet3.wav,0.7257,0.6350,0.5027
1_236_plus_2-188822-D-40_-5dB.wav,0.3954,0.3370,0.3386
1_236_plus_2-188822-D-40_-5dB_DeepFilterNet3.wav,0.3954,0.3370,0.3428
1_33_plus_2-188822-C-40_-5dB.wav,0.6199,0.5569,0.5091
1_33_plus_2-188822-C-40_-5dB_DeepFilterNet3.wav,0.6199,0.5569,0.4475
1_394_plus_3-150979-A-40_-5dB.wav,0.8076,0.8051,0.4657
1_394_plus_3-150979-A-40_-5dB_DeepFilterNet3.wav,0.8076,0.8051,0.4020
1_397_plus_4-175000-B-40_-5dB.wav,0.7513,0.6369,0.5291
1_397_plus_4-175000-B-40_-5dB_DeepFilterNet3.wav,0.7513,0.6369,0.4687
1_430_plus_5-205898-A-40_-5dB.wav,0.4397,0.1825,0.2365
1_430_plus_5-205898-A-40_-5dB_DeepFilterNet3.wav,0.4397,0.1825,0.2187
1_442_plus_4-161579-A-40_-5dB.wav,1.0000,1.0000,0.6264
1_442_plus_4-161579-A-40_-5dB_DeepFilterNet3.wav,1.0000,1.0000,0.4624
1_82_plus_4-193480-A-40_-5dB.wav,0.7238,0.7100,0.4883
1_82_plus_4-193480-A-40_-5dB_DeepFilterNet3.wav,0.7238,0.7100,0.5120
1_99_plus_5-191131-A-40_-5dB.wav,0.5994,0.5211,0.4660
1_99_plus_5-191131-A-40_-5dB_DeepFilterNet3.wav,0.5994,0.5211,0.5103
