FILENAME,0dB,-5dB,DeepFilterNet
1_107_plus_1-36164-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3652
1_132_plus_4-164243-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4996
1_159_plus_2-60791-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5637
1_218_plus_5-244526-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.7157
1_296_plus_5-171118-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4720
1_298_plus_2-79775-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.7399
1_314_plus_5-242932-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3957
1_463_plus_1-30043-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4519
1_482_plus_3-110536-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5026
1_58_plus_5-263775-A-26_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5736
