FILENAME,0dB,-5dB,DeepFilterNet
1_124_plus_2-126433-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4744
1_13_plus_2-102414-F-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2865
1_163_plus_4-187504-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.7459
1_191_plus_4-181628-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.7130
1_246_plus_4-186693-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4193
1_281_plus_1-51436-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4693
1_409_plus_2-102414-G-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3590
1_440_plus_5-207781-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5621
1_450_plus_5-205589-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.6304
1_59_plus_1-50625-A-17_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5309
