filename,category,snr_level,method,processing_time_ms
1_124_plus_2-126433-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,34.06
1_13_plus_2-102414-F-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,39.05
1_163_plus_4-187504-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,40.58
1_191_plus_4-181628-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,53.09
1_246_plus_4-186693-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,39.54
1_281_plus_1-51436-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,40.55
1_409_plus_2-102414-G-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,35.04
1_440_plus_5-207781-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,35.24
1_450_plus_5-205589-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,40.72
1_59_plus_1-50625-A-17_-5dB.wav,pouring_water,-5dB,DeepFilterNet,29.61
