FILENAME,0dB,-5dB,DeepFilterNet
1_19_plus_5-208810-B-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4010
1_232_plus_3-144827-B-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5636
1_265_plus_1-91359-B-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2919
1_306_plus_4-167063-B-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4980
1_442_plus_2-102852-A-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4682
1_444_plus_5-213077-A-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.5120
1_466_plus_3-164120-A-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2550
1_52_plus_1-91359-A-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4409
1_64_plus_1-39901-A-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3332
1_65_plus_4-182613-B-11_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3287
