FILENAME,0dB,-5dB,DeepFilterNet
1_132_plus_2-182508-A-8_-5dB.wav,0.4812,0.4010,0.5968
1_132_plus_2-182508-A-8_-5dB_DeepFilterNet3.wav,0.4812,0.4010,0.3081
1_167_plus_4-250864-A-8_-5dB.wav,0.2648,0.1930,0.3014
1_167_plus_4-250864-A-8_-5dB_DeepFilterNet3.wav,0.2648,0.1930,0.2671
1_197_plus_3-197408-B-8_-5dB.wav,0.4277,0.3539,0.5098
1_197_plus_3-197408-B-8_-5dB_DeepFilterNet3.wav,0.4277,0.3539,0.4326
1_235_plus_4-188703-D-8_-5dB.wav,0.4211,0.3720,0.3020
1_235_plus_4-188703-D-8_-5dB_DeepFilterNet3.wav,0.4211,0.3720,0.2236
1_276_plus_5-200329-A-8_-5dB.wav,0.9157,0.8667,0.5177
1_276_plus_5-200329-A-8_-5dB_DeepFilterNet3.wav,0.9157,0.8667,0.5480
1_27_plus_3-140199-B-8_-5dB.wav,0.6165,0.6023,0.4960
1_27_plus_3-140199-B-8_-5dB_DeepFilterNet3.wav,0.6165,0.6023,0.4808
1_375_plus_5-61635-A-8_-5dB.wav,0.6801,0.6153,0.4309
1_375_plus_5-61635-A-8_-5dB_DeepFilterNet3.wav,0.6801,0.6153,0.4410
1_401_plus_3-140199-A-8_-5dB.wav,0.5174,0.4627,0.5011
1_401_plus_3-140199-A-8_-5dB_DeepFilterNet3.wav,0.5174,0.4627,0.5461
1_53_plus_1-57795-A-8_-5dB.wav,0.6255,0.6421,0.4243
1_53_plus_1-57795-A-8_-5dB_DeepFilterNet3.wav,0.6255,0.6421,0.4634
1_70_plus_1-121951-A-8_-5dB.wav,0.6608,0.6472,0.4331
1_70_plus_1-121951-A-8_-5dB_DeepFilterNet3.wav,0.6608,0.6472,0.4152
