FILENAME,0dB,-5dB,DeepFilterNet
1_165_plus_3-51731-B-42_-5dB.wav,0.3215,0.2737,0.4745
1_165_plus_3-51731-B-42_-5dB_DeepFilterNet3.wav,0.3215,0.2737,0.5846
1_210_plus_1-76831-A-42_-5dB.wav,0.3345,0.2810,0.4452
1_210_plus_1-76831-A-42_-5dB_DeepFilterNet3.wav,0.3345,0.2810,0.4996
1_300_plus_1-76831-C-42_-5dB.wav,0.4328,0.2318,0.2938
1_300_plus_1-76831-C-42_-5dB_DeepFilterNet3.wav,0.4328,0.2318,0.3294
1_349_plus_4-80761-A-42_-5dB.wav,0.7388,0.7171,0.7492
1_349_plus_4-80761-A-42_-5dB_DeepFilterNet3.wav,0.7388,0.7171,0.5775
1_404_plus_5-160551-A-42_-5dB.wav,0.1697,0.1438,0.2659
1_404_plus_5-160551-A-42_-5dB_DeepFilterNet3.wav,0.1697,0.1438,0.2713
1_412_plus_1-76831-B-42_-5dB.wav,0.1302,0.0928,0.1319
1_412_plus_1-76831-B-42_-5dB_DeepFilterNet3.wav,0.1302,0.0928,0.1448
1_421_plus_4-90014-A-42_-5dB.wav,0.2399,0.1908,0.4940
1_421_plus_4-90014-A-42_-5dB_DeepFilterNet3.wav,0.2399,0.1908,0.4541
1_451_plus_3-58772-A-42_-5dB.wav,0.5531,0.3951,0.6548
1_451_plus_3-58772-A-42_-5dB_DeepFilterNet3.wav,0.5531,0.3951,0.5398
1_463_plus_3-51376-A-42_-5dB.wav,0.3277,0.2610,0.2629
1_463_plus_3-51376-A-42_-5dB_DeepFilterNet3.wav,0.3277,0.2610,0.2367
1_51_plus_2-70936-A-42_-5dB.wav,0.6668,0.4839,0.4318
1_51_plus_2-70936-A-42_-5dB_DeepFilterNet3.wav,0.6668,0.4839,0.4319
