FILENAME,0dB,-5dB,DeepFilterNet
1_162_plus_5-182007-A-36_-5dB.wav,0.4961,0.3854,0.4790
1_162_plus_5-182007-A-36_-5dB_DeepFilterNet3.wav,0.4961,0.3854,0.6577
1_206_plus_2-106073-A-36_-5dB.wav,0.3455,0.3398,0.6834
1_206_plus_2-106073-A-36_-5dB_DeepFilterNet3.wav,0.3455,0.3398,0.5173
1_289_plus_3-159347-B-36_-5dB.wav,0.4020,0.3663,0.5974
1_289_plus_3-159347-B-36_-5dB_DeepFilterNet3.wav,0.4020,0.3663,0.5025
1_305_plus_2-106072-A-36_-5dB.wav,0.2183,0.2149,0.3661
1_305_plus_2-106072-A-36_-5dB_DeepFilterNet3.wav,0.2183,0.2149,0.4374
1_310_plus_1-19872-B-36_-5dB.wav,0.2526,0.1978,0.4766
1_310_plus_1-19872-B-36_-5dB_DeepFilterNet3.wav,0.2526,0.1978,0.5278
1_336_plus_2-141681-B-36_-5dB.wav,0.2877,0.2799,0.2952
1_336_plus_2-141681-B-36_-5dB_DeepFilterNet3.wav,0.2877,0.2799,0.4193
1_386_plus_2-141682-A-36_-5dB.wav,0.5568,0.4303,0.3000
1_386_plus_2-141682-A-36_-5dB_DeepFilterNet3.wav,0.5568,0.4303,0.3200
1_417_plus_3-159346-A-36_-5dB.wav,0.3980,0.3075,0.3057
1_417_plus_3-159346-A-36_-5dB_DeepFilterNet3.wav,0.3980,0.3075,0.3823
1_423_plus_5-212054-A-36_-5dB.wav,0.5801,0.4610,0.5484
1_423_plus_5-212054-A-36_-5dB_DeepFilterNet3.wav,0.5801,0.4610,0.4142
1_88_plus_1-79236-A-36_-5dB.wav,0.4210,0.3700,0.2428
1_88_plus_1-79236-A-36_-5dB_DeepFilterNet3.wav,0.4210,0.3700,0.1263
