filename,category,snr_level,method,processing_time_ms
1_181_plus_2-160888-A-47_0dB.wav,airplane,0dB,DeepFilterNet,44.12
1_222_plus_4-161099-A-47_0dB.wav,airplane,0dB,DeepFilterNet,30.34
1_24_plus_3-128512-A-47_0dB.wav,airplane,0dB,DeepFilterNet,37.55
1_265_plus_4-251959-A-47_0dB.wav,airplane,0dB,DeepFilterNet,26.03
1_27_plus_5-251957-A-47_0dB.wav,airplane,0dB,DeepFilterNet,24.03
1_317_plus_4-161105-B-47_0dB.wav,airplane,0dB,DeepFilterNet,25.04
1_38_plus_2-78781-A-47_0dB.wav,airplane,0dB,DeepFilterNet,24.02
1_490_plus_4-255371-A-47_0dB.wav,airplane,0dB,DeepFilterNet,25.02
1_64_plus_5-251963-A-47_0dB.wav,airplane,0dB,DeepFilterNet,25.27
1_6_plus_1-36929-A-47_0dB.wav,airplane,0dB,DeepFilterNet,24.63
