FILENAME,0dB,-5dB,DeepFilterNet
1_119_plus_2-98392-A-23_0dB.wav,0.6417,0.5661,0.3649
1_119_plus_2-98392-A-23_0dB_DeepFilterNet3.wav,0.6417,0.5661,0.4849
1_190_plus_1-30709-B-23_0dB.wav,0.7484,0.6172,0.5795
1_190_plus_1-30709-B-23_0dB_DeepFilterNet3.wav,0.7484,0.6172,0.6112
1_231_plus_5-213293-A-23_0dB.wav,0.4273,0.4089,0.3823
1_231_plus_5-213293-A-23_0dB_DeepFilterNet3.wav,0.4273,0.4089,0.3697
1_235_plus_1-30709-C-23_0dB.wav,0.5450,0.4276,0.7274
1_235_plus_1-30709-C-23_0dB_DeepFilterNet3.wav,0.5450,0.4276,0.4566
1_345_plus_5-261464-A-23_0dB.wav,0.4476,0.4059,0.3956
1_345_plus_5-261464-A-23_0dB_DeepFilterNet3.wav,0.4476,0.4059,0.4370
1_38_plus_5-260164-A-23_0dB.wav,0.6367,0.5043,0.3637
1_38_plus_5-260164-A-23_0dB_DeepFilterNet3.wav,0.6367,0.5043,0.4127
1_395_plus_3-112557-B-23_0dB.wav,0.4502,0.4123,0.3118
1_395_plus_3-112557-B-23_0dB_DeepFilterNet3.wav,0.4502,0.4123,0.3970
1_434_plus_3-144128-B-23_0dB.wav,0.7244,0.5609,0.4379
1_434_plus_3-144128-B-23_0dB_DeepFilterNet3.wav,0.7244,0.5609,0.4775
1_455_plus_4-205526-A-23_0dB.wav,0.7540,0.5958,0.4866
1_455_plus_4-205526-A-23_0dB_DeepFilterNet3.wav,0.7540,0.5958,0.4362
1_52_plus_4-205526-B-23_0dB.wav,0.8581,0.8116,0.4117
1_52_plus_4-205526-B-23_0dB_DeepFilterNet3.wav,0.8581,0.8116,0.3901
