filename,category,snr_level,method,processing_time_ms
1_119_plus_2-98392-A-23_0dB.wav,breathing,0dB,DeepFilterNet,30.83
1_190_plus_1-30709-B-23_0dB.wav,breathing,0dB,DeepFilterNet,29.54
1_231_plus_5-213293-A-23_0dB.wav,breathing,0dB,DeepFilterNet,32.73
1_235_plus_1-30709-C-23_0dB.wav,breathing,0dB,DeepFilterNet,26.03
1_345_plus_5-261464-A-23_0dB.wav,breathing,0dB,DeepFilterNet,26.02
1_38_plus_5-260164-A-23_0dB.wav,breathing,0dB,DeepFilterNet,27.97
1_395_plus_3-112557-B-23_0dB.wav,breathing,0dB,DeepFilterNet,26.66
1_434_plus_3-144128-B-23_0dB.wav,breathing,0dB,DeepFilterNet,31.55
1_455_plus_4-205526-A-23_0dB.wav,breathing,0dB,DeepFilterNet,30.54
1_52_plus_4-205526-B-23_0dB.wav,breathing,0dB,DeepFilterNet,27.04
