FILENAME,0dB,-5dB,DeepFilterNet
1_134_plus_3-243726-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2561
1_179_plus_4-191015-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6676
1_190_plus_4-178402-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5220
1_207_plus_4-175855-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6180
1_238_plus_1-26177-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4531
1_342_plus_3-155234-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5706
1_386_plus_1-24074-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4216
1_392_plus_3-146697-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3737
1_75_plus_1-24076-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4715
1_78_plus_5-179860-A-43_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3166
