FILENAME,0dB,-5dB,DeepFilterNet
1_138_plus_1-47819-C-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5687
1_188_plus_5-177614-A-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2452
1_193_plus_5-214759-A-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3774
1_231_plus_1-34094-B-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3217
1_265_plus_2-83934-A-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3692
1_315_plus_3-146964-A-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5674
1_328_plus_4-120160-A-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3672
1_357_plus_2-83934-B-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5927
1_395_plus_4-149940-B-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4340
1_425_plus_5-214759-B-5_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5758
