FILENAME,0dB,-5dB,DeepFilterNet
1_101_plus_1-47250-B-41_0dB.wav,0.3726,0.3287,0.4126
1_101_plus_1-47250-B-41_0dB_DeepFilterNet3.wav,0.3726,0.3287,0.4018
1_202_plus_1-19898-C-41_0dB.wav,0.5225,0.4418,0.6160
1_202_plus_1-19898-C-41_0dB_DeepFilterNet3.wav,0.5225,0.4418,0.5775
1_220_plus_4-149294-B-41_0dB.wav,0.4405,0.4352,0.2797
1_220_plus_4-149294-B-41_0dB_DeepFilterNet3.wav,0.4405,0.4352,0.3157
1_233_plus_5-216370-A-41_0dB.wav,0.7400,0.6377,0.4886
1_233_plus_5-216370-A-41_0dB_DeepFilterNet3.wav,0.7400,0.6377,0.3950
1_304_plus_3-118658-B-41_0dB.wav,0.4263,0.3676,0.4589
1_304_plus_3-118658-B-41_0dB_DeepFilterNet3.wav,0.4263,0.3676,0.4941
1_358_plus_4-169127-A-41_0dB.wav,0.4781,0.4338,0.3170
1_358_plus_4-169127-A-41_0dB_DeepFilterNet3.wav,0.4781,0.4338,0.3491
1_385_plus_3-118656-A-41_0dB.wav,0.5215,0.4810,0.3088
1_385_plus_3-118656-A-41_0dB_DeepFilterNet3.wav,0.5215,0.4810,0.3581
1_494_plus_2-50668-B-41_0dB.wav,0.7950,0.6280,0.4219
1_494_plus_2-50668-B-41_0dB_DeepFilterNet3.wav,0.7950,0.6280,0.3571
1_56_plus_2-50667-A-41_0dB.wav,0.7377,0.6901,0.2397
1_56_plus_2-50667-A-41_0dB_DeepFilterNet3.wav,0.7377,0.6901,0.2445
1_78_plus_4-157611-A-41_0dB.wav,0.7210,0.6913,0.4437
1_78_plus_4-157611-A-41_0dB_DeepFilterNet3.wav,0.7210,0.6913,0.3526
