filename,category,snr_level,method,processing_time_ms
1_101_plus_1-47250-B-41_0dB.wav,chainsaw,0dB,DeepFilterNet,32.66
1_202_plus_1-19898-C-41_0dB.wav,chainsaw,0dB,DeepFilterNet,31.14
1_220_plus_4-149294-B-41_0dB.wav,chainsaw,0dB,DeepFilterNet,31.64
1_233_plus_5-216370-A-41_0dB.wav,chainsaw,0dB,DeepFilterNet,26.02
1_304_plus_3-118658-B-41_0dB.wav,chainsaw,0dB,DeepFilterNet,24.52
1_358_plus_4-169127-A-41_0dB.wav,chainsaw,0dB,DeepFilterNet,26.03
1_385_plus_3-118656-A-41_0dB.wav,chainsaw,0dB,DeepFilterNet,25.53
1_494_plus_2-50668-B-41_0dB.wav,chainsaw,0dB,DeepFilterNet,24.52
1_56_plus_2-50667-A-41_0dB.wav,chainsaw,0dB,DeepFilterNet,24.93
1_78_plus_4-157611-A-41_0dB.wav,chainsaw,0dB,DeepFilterNet,24.72
