FILENAME,0dB,-5dB,DeepFilterNet
1_130_plus_1-100038-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3668
1_139_plus_2-122616-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2585
1_251_plus_4-223125-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2685
1_252_plus_4-223127-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3894
1_270_plus_4-187769-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4641
1_286_plus_3-155577-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3750
1_317_plus_1-38560-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6112
1_319_plus_4-182795-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4761
1_430_plus_3-155579-A-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.1775
1_4_plus_4-159609-B-14_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.1834
