FILENAME,0dB,-5dB,DeepFilterNet
1_177_plus_3-138114-A-22_0dB.wav,0.2589,0.2387,0.5226
1_177_plus_3-138114-A-22_0dB_DeepFilterNet3.wav,0.2589,0.2387,0.5544
1_178_plus_4-189838-A-22_0dB.wav,0.2299,0.2111,0.6424
1_178_plus_4-189838-A-22_0dB_DeepFilterNet3.wav,0.2299,0.2111,0.7072
1_275_plus_5-262957-A-22_0dB.wav,0.6298,0.4072,0.5723
1_275_plus_5-262957-A-22_0dB_DeepFilterNet3.wav,0.6298,0.4072,0.4964
1_340_plus_1-115920-A-22_0dB.wav,0.6013,0.3028,0.6671
1_340_plus_1-115920-A-22_0dB_DeepFilterNet3.wav,0.6013,0.3028,0.6691
1_344_plus_1-94036-A-22_0dB.wav,0.4431,0.3916,0.4949
1_344_plus_1-94036-A-22_0dB_DeepFilterNet3.wav,0.4431,0.3916,0.4917
1_347_plus_5-249937-A-22_0dB.wav,0.4050,0.3400,0.6083
1_347_plus_5-249937-A-22_0dB_DeepFilterNet3.wav,0.4050,0.3400,0.6316
1_373_plus_2-76408-B-22_0dB.wav,0.2322,0.2103,0.5813
1_373_plus_2-76408-B-22_0dB_DeepFilterNet3.wav,0.2322,0.2103,0.5619
1_376_plus_1-115921-A-22_0dB.wav,0.2255,0.1992,0.3502
1_376_plus_1-115921-A-22_0dB_DeepFilterNet3.wav,0.2255,0.1992,0.6797
1_385_plus_4-189836-A-22_0dB.wav,0.2758,0.2396,0.3973
1_385_plus_4-189836-A-22_0dB_DeepFilterNet3.wav,0.2758,0.2396,0.4120
1_459_plus_1-110537-A-22_0dB.wav,0.3025,0.2517,0.4859
1_459_plus_1-110537-A-22_0dB_DeepFilterNet3.wav,0.3025,0.2517,0.3899
