FILENAME,0dB,-5dB,DeepFilterNet
1_108_plus_4-174860-B-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3899
1_119_plus_4-213915-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4898
1_122_plus_1-69422-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6725
1_188_plus_1-77160-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4159
1_268_plus_5-194899-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5679
1_280_plus_5-194899-C-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4741
1_28_plus_3-124376-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.7474
1_30_plus_3-152039-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2872
1_312_plus_4-174860-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3722
1_439_plus_2-104877-A-3_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5115
