filename,category,snr_level,method,processing_time_ms
1_149_plus_1-17742-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4785.35
1_25_plus_3-104632-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4847.06
1_269_plus_4-181563-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4755.46
1_310_plus_3-158476-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4654.07
1_373_plus_2-28314-B-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4693.03
1_429_plus_5-193473-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4630.74
1_46_plus_5-215658-B-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4638.34
1_484_plus_5-193473-B-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4698.49
1_490_plus_2-18766-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4709.08
1_54_plus_3-65748-A-12_0dB.wav,crackling_fire,0dB,DeepFilterNet,4565.32
