filename,category,snr_level,method,processing_time_ms
1_106_plus_2-125875-A-13_0dB.wav,crickets,0dB,DeepFilterNet,39.08
1_149_plus_2-80844-A-13_0dB.wav,crickets,0dB,DeepFilterNet,31.57
1_16_plus_3-129338-A-13_0dB.wav,crickets,0dB,DeepFilterNet,31.05
1_271_plus_3-134802-A-13_0dB.wav,crickets,0dB,DeepFilterNet,33.54
1_286_plus_3-155766-A-13_0dB.wav,crickets,0dB,DeepFilterNet,26.53
1_298_plus_1-59102-A-13_0dB.wav,crickets,0dB,DeepFilterNet,32.53
1_366_plus_2-96033-A-13_0dB.wav,crickets,0dB,DeepFilterNet,25.53
1_394_plus_1-7456-A-13_0dB.wav,crickets,0dB,DeepFilterNet,29.54
1_455_plus_3-163607-A-13_0dB.wav,crickets,0dB,DeepFilterNet,26.63
1_97_plus_5-210540-A-13_0dB.wav,crickets,0dB,DeepFilterNet,25.54
