FILENAME,0dB,-5dB,DeepFilterNet
1_125_plus_5-213836-B-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3467
1_150_plus_4-173865-B-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3541
1_172_plus_1-75162-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5192
1_306_plus_4-173865-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4930
1_310_plus_3-124925-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6895
1_325_plus_2-109231-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4793
1_340_plus_3-127890-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5693
1_433_plus_4-156227-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3788
1_43_plus_2-108767-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6311
1_449_plus_3-112397-A-9_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5249
