FILENAME,0dB,-5dB,DeepFilterNet
1_11_plus_1-110389-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3355
1_133_plus_5-208030-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6402
1_142_plus_2-114587-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6655
1_168_plus_3-144028-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5400
1_278_plus_5-203128-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5534
1_290_plus_4-182395-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.7397
1_310_plus_4-191687-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.8347
1_319_plus_4-207124-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2856
1_402_plus_3-180256-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4906
1_439_plus_5-231762-A-0_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3284
