FILENAME,0dB,-5dB,DeepFilterNet
1_237_plus_2-123712-A-33_0dB.wav,0.4630,0.3291,0.3814
1_237_plus_2-123712-A-33_0dB_DeepFilterNet3.wav,0.4630,0.3291,0.4779
1_23_plus_1-51805-C-33_0dB.wav,0.3315,0.3432,0.3713
1_23_plus_1-51805-C-33_0dB_DeepFilterNet3.wav,0.3315,0.3432,0.3131
1_293_plus_2-70344-A-33_0dB.wav,0.7763,0.6623,0.7233
1_293_plus_2-70344-A-33_0dB_DeepFilterNet3.wav,0.7763,0.6623,0.8199
1_321_plus_4-132839-A-33_0dB.wav,0.3151,0.2480,0.4053
1_321_plus_4-132839-A-33_0dB_DeepFilterNet3.wav,0.3151,0.2480,0.4551
1_407_plus_4-107120-A-33_0dB.wav,0.4306,0.3536,0.4387
1_407_plus_4-107120-A-33_0dB_DeepFilterNet3.wav,0.4306,0.3536,0.3201
1_454_plus_4-107122-A-33_0dB.wav,0.5021,0.5393,0.4529
1_454_plus_4-107122-A-33_0dB_DeepFilterNet3.wav,0.5021,0.5393,0.4602
1_48_plus_1-51805-A-33_0dB.wav,0.6027,0.4896,0.4724
1_48_plus_1-51805-A-33_0dB_DeepFilterNet3.wav,0.6027,0.4896,0.4009
1_498_plus_5-161270-A-33_0dB.wav,0.5879,0.6111,0.2930
1_498_plus_5-161270-A-33_0dB_DeepFilterNet3.wav,0.5879,0.6111,0.3279
1_4_plus_4-107117-A-33_0dB.wav,0.4591,0.4001,0.4948
1_4_plus_4-107117-A-33_0dB_DeepFilterNet3.wav,0.4591,0.4001,0.5172
1_94_plus_1-51805-H-33_0dB.wav,0.6049,0.5760,0.5621
1_94_plus_1-51805-H-33_0dB_DeepFilterNet3.wav,0.6049,0.5760,0.5729
