filename,category,snr_level,method,processing_time_ms
1_140_plus_3-146186-A-44_0dB.wav,engine,0dB,DeepFilterNet,37.73
1_188_plus_3-154758-A-44_0dB.wav,engine,0dB,DeepFilterNet,31.54
1_195_plus_4-201988-A-44_0dB.wav,engine,0dB,DeepFilterNet,29.05
1_224_plus_2-106487-A-44_0dB.wav,engine,0dB,DeepFilterNet,28.54
1_252_plus_3-259622-A-44_0dB.wav,engine,0dB,DeepFilterNet,26.54
1_262_plus_3-115382-A-44_0dB.wav,engine,0dB,DeepFilterNet,31.72
1_283_plus_3-141240-B-44_0dB.wav,engine,0dB,DeepFilterNet,32.66
1_318_plus_2-106014-A-44_0dB.wav,engine,0dB,DeepFilterNet,25.32
1_392_plus_4-171652-A-44_0dB.wav,engine,0dB,DeepFilterNet,27.5
1_95_plus_1-18527-A-44_0dB.wav,engine,0dB,DeepFilterNet,25.75
