FILENAME,0dB,-5dB,DeepFilterNet
1_161_plus_4-119648-A-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.8198
1_269_plus_5-160614-E-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6367
1_323_plus_2-117615-E-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6806
1_35_plus_1-25777-A-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.8118
1_373_plus_2-117616-A-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6299
1_385_plus_2-165801-A-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4855
1_402_plus_5-160614-F-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3409
1_409_plus_4-119648-C-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5602
1_441_plus_1-25781-A-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3137
1_463_plus_1-115546-A-48_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5414
