filename,category,snr_level,method,processing_time_ms
1_161_plus_4-119648-A-48_0dB.wav,fireworks,0dB,DeepFilterNet,5607.77
1_269_plus_5-160614-E-48_0dB.wav,fireworks,0dB,DeepFilterNet,5624.35
1_323_plus_2-117615-E-48_0dB.wav,fireworks,0dB,DeepFilterNet,5965.22
1_35_plus_1-25777-A-48_0dB.wav,fireworks,0dB,DeepFilterNet,4747.13
1_373_plus_2-117616-A-48_0dB.wav,fireworks,0dB,DeepFilterNet,3806.09
1_385_plus_2-165801-A-48_0dB.wav,fireworks,0dB,DeepFilterNet,3736.82
1_402_plus_5-160614-F-48_0dB.wav,fireworks,0dB,DeepFilterNet,3805.51
1_409_plus_4-119648-C-48_0dB.wav,fireworks,0dB,DeepFilterNet,5287.3
1_441_plus_1-25781-A-48_0dB.wav,fireworks,0dB,DeepFilterNet,6338.65
1_463_plus_1-115546-A-48_0dB.wav,fireworks,0dB,DeepFilterNet,5886.82
