FILENAME,0dB,-5dB,DeepFilterNet
1_103_plus_4-218304-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4450
1_173_plus_2-209473-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5209
1_205_plus_3-249913-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2867
1_212_plus_5-51149-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3824
1_354_plus_1-223162-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.8448
1_37_plus_3-103597-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4410
1_400_plus_4-198962-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4926
1_476_plus_4-198962-B-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5122
1_47_plus_5-234263-A-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5660
1_98_plus_1-155858-E-25_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3768
