filename,category,snr_level,method,processing_time_ms
1_100_plus_1-977-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,38.05
1_105_plus_4-212698-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,32.57
1_156_plus_2-106881-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,31.04
1_223_plus_5-260434-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,31.1
1_252_plus_1-84536-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,36.04
1_302_plus_5-221529-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,41.57
1_30_plus_4-204777-C-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,26.04
1_425_plus_2-141563-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,26.29
1_58_plus_1-84704-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,25.53
1_96_plus_3-203371-A-39_0dB.wav,glass_breaking,0dB,DeepFilterNet,26.53
