filename,category,snr_level,method,processing_time_ms
1_12_plus_1-181071-B-40_0dB.wav,helicopter,0dB,DeepFilterNet,36.25
1_168_plus_5-177957-C-40_0dB.wav,helicopter,0dB,DeepFilterNet,31.07
1_236_plus_2-188822-D-40_0dB.wav,helicopter,0dB,DeepFilterNet,37.89
1_33_plus_2-188822-C-40_0dB.wav,helicopter,0dB,DeepFilterNet,33.27
1_394_plus_3-150979-A-40_0dB.wav,helicopter,0dB,DeepFilterNet,30.05
1_397_plus_4-175000-B-40_0dB.wav,helicopter,0dB,DeepFilterNet,34.06
1_430_plus_5-205898-A-40_0dB.wav,helicopter,0dB,DeepFilterNet,34.54
1_442_plus_4-161579-A-40_0dB.wav,helicopter,0dB,DeepFilterNet,34.53
1_82_plus_4-193480-A-40_0dB.wav,helicopter,0dB,DeepFilterNet,36.05
1_99_plus_5-191131-A-40_0dB.wav,helicopter,0dB,DeepFilterNet,31.55
