filename,category,snr_level,method,processing_time_ms
1_127_plus_5-263831-B-6_0dB.wav,hen,0dB,DeepFilterNet,32.55
1_152_plus_2-120587-A-6_0dB.wav,hen,0dB,DeepFilterNet,33.13
1_246_plus_3-178096-A-6_0dB.wav,hen,0dB,DeepFilterNet,33.55
1_296_plus_1-31251-A-6_0dB.wav,hen,0dB,DeepFilterNet,41.59
1_321_plus_3-171281-A-6_0dB.wav,hen,0dB,DeepFilterNet,28.55
1_355_plus_3-164216-A-6_0dB.wav,hen,0dB,DeepFilterNet,34.04
1_38_plus_3-164216-B-6_0dB.wav,hen,0dB,DeepFilterNet,27.03
1_427_plus_5-263831-A-6_0dB.wav,hen,0dB,DeepFilterNet,33.54
1_465_plus_2-75726-A-6_0dB.wav,hen,0dB,DeepFilterNet,33.23
1_75_plus_1-71030-A-6_0dB.wav,hen,0dB,DeepFilterNet,26.03
