filename,category,snr_level,method,processing_time_ms
1_100_plus_2-99796-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,37.09
1_124_plus_2-120333-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,39.55
1_130_plus_4-167155-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,38.49
1_292_plus_3-144106-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,30.04
1_364_plus_5-223099-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,28.7
1_366_plus_5-244178-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,30.53
1_410_plus_4-177243-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,27.49
1_416_plus_1-94231-B-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,34.03
1_52_plus_5-223099-B-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,34.56
1_56_plus_5-234923-A-32_0dB.wav,keyboard_typing,0dB,DeepFilterNet,33.19
