filename,category,snr_level,method,processing_time_ms
1_107_plus_1-36164-A-26_0dB.wav,laughing,0dB,DeepFilterNet,42.0
1_132_plus_4-164243-A-26_0dB.wav,laughing,0dB,DeepFilterNet,37.06
1_159_plus_2-60791-A-26_0dB.wav,laughing,0dB,DeepFilterNet,31.56
1_218_plus_5-244526-A-26_0dB.wav,laughing,0dB,DeepFilterNet,32.54
1_296_plus_5-171118-A-26_0dB.wav,laughing,0dB,DeepFilterNet,26.52
1_298_plus_2-79775-A-26_0dB.wav,laughing,0dB,DeepFilterNet,26.52
1_314_plus_5-242932-A-26_0dB.wav,laughing,0dB,DeepFilterNet,27.08
1_463_plus_1-30043-A-26_0dB.wav,laughing,0dB,DeepFilterNet,37.08
1_482_plus_3-110536-A-26_0dB.wav,laughing,0dB,DeepFilterNet,36.06
1_58_plus_5-263775-A-26_0dB.wav,laughing,0dB,DeepFilterNet,33.05
