FILENAME,0dB,-5dB,DeepFilterNet
1_184_plus_4-201300-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5759
1_225_plus_1-81851-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5420
1_249_plus_3-158056-B-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4533
1_262_plus_3-167096-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5049
1_275_plus_3-185313-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5442
1_397_plus_2-119139-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4431
1_41_plus_4-195305-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5140
1_485_plus_1-95563-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4315
1_490_plus_2-153388-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2593
1_499_plus_1-118206-A-31_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4479
