FILENAME,0dB,-5dB,DeepFilterNet
1_124_plus_2-126433-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5193
1_13_plus_2-102414-F-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3125
1_163_plus_4-187504-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.7991
1_191_plus_4-181628-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4546
1_246_plus_4-186693-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4641
1_281_plus_1-51436-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5070
1_409_plus_2-102414-G-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4460
1_440_plus_5-207781-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6229
1_450_plus_5-205589-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4936
1_59_plus_1-50625-A-17_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5969
