FILENAME,0dB,-5dB,DeepFilterNet
1_124_plus_3-157615-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2286
1_289_plus_2-82367-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3658
1_308_plus_4-160999-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4822
1_376_plus_2-73027-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4155
1_382_plus_3-140774-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6403
1_40_plus_5-188655-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2228
1_415_plus_1-56311-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3673
1_459_plus_1-63871-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3364
1_490_plus_1-29561-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2026
1_92_plus_3-132852-A-10_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4019
