filename,category,snr_level,method,processing_time_ms
1_124_plus_3-157615-A-10_0dB.wav,rain,0dB,DeepFilterNet,36.77
1_289_plus_2-82367-A-10_0dB.wav,rain,0dB,DeepFilterNet,33.05
1_308_plus_4-160999-A-10_0dB.wav,rain,0dB,DeepFilterNet,37.56
1_376_plus_2-73027-A-10_0dB.wav,rain,0dB,DeepFilterNet,35.77
1_382_plus_3-140774-A-10_0dB.wav,rain,0dB,DeepFilterNet,27.44
1_40_plus_5-188655-A-10_0dB.wav,rain,0dB,DeepFilterNet,25.88
1_415_plus_1-56311-A-10_0dB.wav,rain,0dB,DeepFilterNet,32.16
1_459_plus_1-63871-A-10_0dB.wav,rain,0dB,DeepFilterNet,33.1
1_490_plus_1-29561-A-10_0dB.wav,rain,0dB,DeepFilterNet,33.59
1_92_plus_3-132852-A-10_0dB.wav,rain,0dB,DeepFilterNet,31.98
