filename,category,snr_level,method,processing_time_ms
1_165_plus_3-51731-B-42_0dB.wav,siren,0dB,DeepFilterNet,34.96
1_210_plus_1-76831-A-42_0dB.wav,siren,0dB,DeepFilterNet,33.05
1_300_plus_1-76831-C-42_0dB.wav,siren,0dB,DeepFilterNet,38.56
1_349_plus_4-80761-A-42_0dB.wav,siren,0dB,DeepFilterNet,36.57
1_404_plus_5-160551-A-42_0dB.wav,siren,0dB,DeepFilterNet,32.54
1_412_plus_1-76831-B-42_0dB.wav,siren,0dB,DeepFilterNet,34.37
1_421_plus_4-90014-A-42_0dB.wav,siren,0dB,DeepFilterNet,29.71
1_451_plus_3-58772-A-42_0dB.wav,siren,0dB,DeepFilterNet,34.6
1_463_plus_3-51376-A-42_0dB.wav,siren,0dB,DeepFilterNet,33.04
1_51_plus_2-70936-A-42_0dB.wav,siren,0dB,DeepFilterNet,28.01
