filename,category,snr_level,method,processing_time_ms
1_11_plus_1-39937-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5292.07
1_162_plus_4-197454-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5389.9
1_180_plus_3-124795-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5587.93
1_259_plus_3-123086-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5569.17
1_451_plus_4-191297-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5418.4
1_45_plus_4-184237-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5278.21
1_499_plus_4-197454-B-28_0dB.wav,snoring,0dB,DeepFilterNet,5325.73
1_69_plus_4-183882-B-28_0dB.wav,snoring,0dB,DeepFilterNet,5440.19
1_92_plus_5-233312-A-28_0dB.wav,snoring,0dB,DeepFilterNet,5897.3
1_98_plus_3-151557-A-28_0dB.wav,snoring,0dB,DeepFilterNet,6312.56
