FILENAME,0dB,-5dB,DeepFilterNet
1_108_plus_2-39945-B-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4526
1_148_plus_5-188495-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6385
1_183_plus_2-39945-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5443
1_199_plus_1-24524-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.8697
1_339_plus_3-103051-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4966
1_33_plus_5-195557-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5892
1_36_plus_3-144891-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5464
1_47_plus_1-101296-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5515
1_51_plus_1-24524-B-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5279
1_6_plus_4-125070-A-19_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3800
