FILENAME,0dB,-5dB,DeepFilterNet
1_102_plus_2-67422-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3204
1_107_plus_5-177034-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3124
1_140_plus_2-74977-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3674
1_215_plus_3-118059-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6399
1_239_plus_4-152958-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5845
1_26_plus_1-30214-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6129
1_281_plus_1-53670-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4545
1_309_plus_5-185908-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5231
1_448_plus_3-112356-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5520
1_56_plus_4-126532-A-18_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4185
