FILENAME,0dB,-5dB,DeepFilterNet
1_200_plus_3-159445-B-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4439
1_211_plus_4-165606-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5351
1_215_plus_1-88409-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4599
1_237_plus_2-122066-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3031
1_245_plus_3-135650-B-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5056
1_254_plus_4-168446-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.4757
1_470_plus_4-165845-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.5949
1_489_plus_2-135649-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.2579
1_493_plus_4-165791-A-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.3290
1_54_plus_4-165845-B-45_0dB_DeepFilterNet3.wav,0.0000,0.0000,0.6133
