filename,category,snr_level,method,processing_time_ms
1_200_plus_3-159445-B-45_0dB.wav,train,0dB,DeepFilterNet,5842.48
1_211_plus_4-165606-A-45_0dB.wav,train,0dB,DeepFilterNet,5780.87
1_215_plus_1-88409-A-45_0dB.wav,train,0dB,DeepFilterNet,5881.07
1_237_plus_2-122066-A-45_0dB.wav,train,0dB,DeepFilterNet,5937.01
1_245_plus_3-135650-B-45_0dB.wav,train,0dB,DeepFilterNet,5881.44
1_254_plus_4-168446-A-45_0dB.wav,train,0dB,DeepFilterNet,5988.89
1_470_plus_4-165845-A-45_0dB.wav,train,0dB,DeepFilterNet,5828.6
1_489_plus_2-135649-A-45_0dB.wav,train,0dB,DeepFilterNet,5923.28
1_493_plus_4-165791-A-45_0dB.wav,train,0dB,DeepFilterNet,5925.44
1_54_plus_4-165845-B-45_0dB.wav,train,0dB,DeepFilterNet,5914.16
