FILENAME,0dB,-5dB,DeepFilterNet
1_112_plus_5-259180-A-15_0dB.wav,0.9780,0.9306,0.4460
1_112_plus_5-259180-A-15_0dB_DeepFilterNet3.wav,0.9780,0.9306,0.3472
1_113_plus_1-16746-A-15_0dB.wav,0.8772,0.8750,0.5910
1_113_plus_1-16746-A-15_0dB_DeepFilterNet3.wav,0.8772,0.8750,0.3646
1_171_plus_1-23094-B-15_0dB.wav,0.6054,0.3508,0.4600
1_171_plus_1-23094-B-15_0dB_DeepFilterNet3.wav,0.6054,0.3508,0.4028
1_190_plus_1-12654-A-15_0dB.wav,0.7142,0.6378,0.6033
1_190_plus_1-12654-A-15_0dB_DeepFilterNet3.wav,0.7142,0.6378,0.5799
1_251_plus_5-261439-A-15_0dB.wav,0.8220,0.4299,0.4000
1_251_plus_5-261439-A-15_0dB_DeepFilterNet3.wav,0.8220,0.4299,0.3915
1_257_plus_4-188293-A-15_0dB.wav,0.8344,0.7844,0.5015
1_257_plus_4-188293-A-15_0dB_DeepFilterNet3.wav,0.8344,0.7844,0.3916
1_359_plus_1-12653-A-15_0dB.wav,0.5699,0.4819,0.5629
1_359_plus_1-12653-A-15_0dB_DeepFilterNet3.wav,0.5699,0.4819,0.7952
1_389_plus_3-164592-A-15_0dB.wav,0.7363,0.7082,0.7289
1_389_plus_3-164592-A-15_0dB_DeepFilterNet3.wav,0.7363,0.7082,0.6488
1_496_plus_4-168155-A-15_0dB.wav,0.8783,0.8292,0.3477
1_496_plus_4-168155-A-15_0dB_DeepFilterNet3.wav,0.8783,0.8292,0.2828
1_498_plus_3-164594-A-15_0dB.wav,0.7850,0.5112,0.3986
1_498_plus_3-164594-A-15_0dB_DeepFilterNet3.wav,0.7850,0.5112,0.4109
