FILENAME,0dB,-5dB,DeepFilterNet
1_127_plus_1-47714-A-16_0dB.wav,0.8227,0.7772,0.6310
1_127_plus_1-47714-A-16_0dB_DeepFilterNet3.wav,0.8227,0.7772,0.5461
1_144_plus_1-51036-A-16_0dB.wav,0.3598,0.3269,0.4420
1_144_plus_1-51036-A-16_0dB_DeepFilterNet3.wav,0.3598,0.3269,0.4511
1_150_plus_4-144083-B-16_0dB.wav,0.6656,0.6315,0.4762
1_150_plus_4-144083-B-16_0dB_DeepFilterNet3.wav,0.6656,0.6315,0.6214
1_286_plus_2-109371-B-16_0dB.wav,0.6790,0.5075,0.6952
1_286_plus_2-109371-B-16_0dB_DeepFilterNet3.wav,0.6790,0.5075,0.7676
1_370_plus_1-69760-A-16_0dB.wav,0.3641,0.3498,0.5183
1_370_plus_1-69760-A-16_0dB_DeepFilterNet3.wav,0.3641,0.3498,0.5100
1_43_plus_4-163606-A-16_0dB.wav,0.7590,0.7346,0.6435
1_43_plus_4-163606-A-16_0dB_DeepFilterNet3.wav,0.7590,0.7346,0.6335
1_450_plus_2-109371-C-16_0dB.wav,0.9230,0.8734,0.7048
1_450_plus_2-109371-C-16_0dB_DeepFilterNet3.wav,0.9230,0.8734,0.5250
1_477_plus_5-217186-C-16_0dB.wav,0.6931,0.5766,0.5902
1_477_plus_5-217186-C-16_0dB_DeepFilterNet3.wav,0.6931,0.5766,0.5826
1_53_plus_3-134699-B-16_0dB.wav,0.8853,0.9041,0.4898
1_53_plus_3-134699-B-16_0dB_DeepFilterNet3.wav,0.8853,0.9041,0.6114
1_75_plus_4-163609-A-16_0dB.wav,0.5549,0.4965,0.3031
1_75_plus_4-163609-A-16_0dB_DeepFilterNet3.wav,0.5549,0.4965,0.2964
