filename,category,snr_level,method,processing_time_ms
1_134_plus_3-243726-A-43_-5dB.wav,car_horn,-5dB,Demucs,5498.45
1_179_plus_4-191015-A-43_-5dB.wav,car_horn,-5dB,Demucs,3740.35
1_190_plus_4-178402-A-43_-5dB.wav,car_horn,-5dB,Demucs,3786.38
1_207_plus_4-175855-A-43_-5dB.wav,car_horn,-5dB,Demucs,3729.67
1_238_plus_1-26177-A-43_-5dB.wav,car_horn,-5dB,Demucs,3768.35
1_342_plus_3-155234-A-43_-5dB.wav,car_horn,-5dB,Demucs,3813.57
1_386_plus_1-24074-A-43_-5dB.wav,car_horn,-5dB,Demucs,3712.74
1_392_plus_3-146697-A-43_-5dB.wav,car_horn,-5dB,Demucs,3854.44
1_75_plus_1-24076-A-43_-5dB.wav,car_horn,-5dB,Demucs,3703.86
1_78_plus_5-179860-A-43_-5dB.wav,car_horn,-5dB,Demucs,3802.11
