FILENAME,0dB,-5dB,Demucs
1_149_plus_1-17742-A-12_-5dB.wav,0.4466,0.3590,0.3801
1_25_plus_3-104632-A-12_-5dB.wav,0.4893,0.3634,0.4671
1_269_plus_4-181563-A-12_-5dB.wav,0.7752,0.7065,0.4264
1_310_plus_3-158476-A-12_-5dB.wav,0.5577,0.5814,0.4718
1_373_plus_2-28314-B-12_-5dB.wav,0.4989,0.3481,0.3872
1_429_plus_5-193473-A-12_-5dB.wav,0.4471,0.2205,0.3011
1_46_plus_5-215658-B-12_-5dB.wav,0.8450,0.7088,0.5651
1_484_plus_5-193473-B-12_-5dB.wav,0.1410,0.1512,0.3366
1_490_plus_2-18766-A-12_-5dB.wav,0.8159,0.7472,0.2968
1_54_plus_3-65748-A-12_-5dB.wav,0.3568,0.2848,0.4138
