filename,category,snr_level,method,processing_time_ms
1_118_plus_2-118624-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,5563.12
1_127_plus_2-133889-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3780.2
1_151_plus_3-182023-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3771.89
1_254_plus_3-151089-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3633.76
1_305_plus_2-118625-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3783.21
1_315_plus_5-250026-B-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3761.33
1_425_plus_4-182041-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3799.83
1_437_plus_2-120218-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3730.43
1_484_plus_4-187284-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3762.33
1_62_plus_3-154378-A-30_-5dB.wav,door_wood_knock,-5dB,Demucs,3722.12
