filename,category,snr_level,method,processing_time_ms
1_100_plus_2-99796-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,5411.7
1_124_plus_2-120333-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3687.0
1_130_plus_4-167155-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3684.61
1_292_plus_3-144106-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3747.23
1_364_plus_5-223099-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3696.16
1_366_plus_5-244178-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3637.88
1_410_plus_4-177243-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3653.41
1_416_plus_1-94231-B-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3650.17
1_52_plus_5-223099-B-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3680.12
1_56_plus_5-234923-A-32_-5dB.wav,keyboard_typing,-5dB,Demucs,3662.1
