filename,category,snr_level,method,processing_time_ms
1_173_plus_1-208757-E-2_-5dB.wav,pig,-5dB,Demucs,5356.22
1_181_plus_4-234644-A-2_-5dB.wav,pig,-5dB,Demucs,3680.36
1_207_plus_4-250869-A-2_-5dB.wav,pig,-5dB,Demucs,3693.62
1_228_plus_3-257858-A-2_-5dB.wav,pig,-5dB,Demucs,3704.08
1_36_plus_1-208757-A-2_-5dB.wav,pig,-5dB,Demucs,3711.03
1_391_plus_1-208757-C-2_-5dB.wav,pig,-5dB,Demucs,3671.42
1_393_plus_2-158746-D-2_-5dB.wav,pig,-5dB,Demucs,3660.05
1_431_plus_5-127990-A-2_-5dB.wav,pig,-5dB,Demucs,3650.06
1_440_plus_1-260640-B-2_-5dB.wav,pig,-5dB,Demucs,3695.28
1_453_plus_4-132383-A-2_-5dB.wav,pig,-5dB,Demucs,3697.86
