FILENAME,0dB,-5dB,Demucs
1_124_plus_2-126433-A-17_-5dB.wav,0.7508,0.6343,0.3792
1_13_plus_2-102414-F-17_-5dB.wav,0.2963,0.2670,0.3325
1_163_plus_4-187504-A-17_-5dB.wav,0.7001,0.5773,0.6883
1_191_plus_4-181628-A-17_-5dB.wav,0.3356,0.1940,0.2477
1_246_plus_4-186693-A-17_-5dB.wav,0.4055,0.3736,0.3575
1_281_plus_1-51436-A-17_-5dB.wav,0.8211,0.5449,0.2923
1_409_plus_2-102414-G-17_-5dB.wav,0.5861,0.5761,0.4774
1_440_plus_5-207781-A-17_-5dB.wav,0.5572,0.4675,0.4798
1_450_plus_5-205589-A-17_-5dB.wav,0.6480,0.6033,0.4427
1_59_plus_1-50625-A-17_-5dB.wav,0.7572,0.6955,0.7524
