FILENAME,0dB,-5dB,Demucs
1_158_plus_4-191327-A-38_0dB.wav,0.6648,0.5548,0.6589
1_16_plus_1-35687-A-38_0dB.wav,0.8609,0.7518,0.2545
1_172_plus_1-57163-A-38_0dB.wav,0.6958,0.5700,0.4631
1_18_plus_5-235671-A-38_0dB.wav,0.8960,0.7802,0.5612
1_235_plus_3-143933-A-38_0dB.wav,0.7048,0.6414,0.3444
1_244_plus_5-219342-A-38_0dB.wav,0.6673,0.6074,0.2577
1_296_plus_2-127108-A-38_0dB.wav,0.5776,0.4465,0.5127
1_324_plus_4-194711-A-38_0dB.wav,0.4030,0.3341,0.2809
1_486_plus_4-181035-A-38_0dB.wav,0.8827,0.8572,0.5279
1_55_plus_1-48413-A-38_0dB.wav,0.6917,0.6055,0.4199
